FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
173,"火","fire",2016-06-16 12:23:08,2016-06-27,4,0,3
174,"炎","inflammation",2016-06-19 14:22:39,2016-06-30,4,0,3
175,"煩","anxiety",2016-06-18 07:00:08,2016-06-30,4,0,3
176,"淡","thin",2016-06-19 13:49:26,2016-07-04,4,0,3
177,"灯","lamp",2016-06-18 06:45:01,2016-07-04,4,1,3
178,"畑","farm",2016-06-17 11:41:24,2016-06-29,4,1,3
179,"災","disaster",2016-06-18 06:40:43,2016-07-04,4,0,3
180,"灰","ashes",2016-06-17 11:41:24,2016-07-03,4,0,3
181,"点","spot",2016-06-18 07:04:51,2016-06-29,4,0,3
182,"照","illuminate",2016-06-18 07:00:08,2016-07-03,4,0,3
183,"魚","fish",2016-06-14 09:46:39,2016-06-25,4,0,3
184,"漁","fishing",2016-06-17 11:39:13,2016-07-01,4,1,3
185,"里","ri",2016-06-19 14:08:54,2016-07-01,4,0,3
186,"黒","black",2016-06-17 11:22:59,2016-07-02,4,0,3
187,"墨","black ink",2016-06-15 09:50:48,2016-06-27,4,1,3
188,"鯉","carp",2016-06-16 12:23:08,2016-06-27,4,1,3
189,"量","quantity",2016-06-19 14:17:01,2016-07-01,4,0,3
190,"厘","rin",2016-06-19 13:58:43,2016-07-13,4,1,3
191,"埋","bury",2016-06-18 06:51:11,2016-07-05,4,1,3
192,"同","same",2016-06-16 12:13:36,2016-06-27,4,0,3
193,"洞","den",2016-06-16 12:20:45,2016-07-02,4,0,3
194,"胴","trunk",2016-06-20 11:42:17,2016-07-05,4,1,3
195,"向","yonder",2016-06-16 12:13:36,2016-06-29,4,0,3
196,"尚","esteem",2016-06-19 14:25:20,2016-07-06,4,1,3
197,"字","character",2016-06-15 09:50:48,2016-06-27,4,0,3
198,"守","guard",2016-06-18 07:07:20,2016-06-29,4,0,3
199,"完","perfect",2016-06-18 06:07:42,2016-06-30,4,1,3
200,"宣","proclaim",2016-06-20 11:58:12,2016-07-03,4,0,3
201,"宵","wee hours",2016-06-17 11:16:23,2016-06-30,4,0,3
202,"安","relax",2016-06-18 07:00:08,2016-07-03,4,0,3
203,"宴","banquet",2016-06-15 09:50:48,2016-06-29,4,0,3
204,"寄","draw near",2016-06-16 12:25:38,2016-06-28,4,0,3
205,"富","wealth",2016-06-20 11:52:19,2016-07-05,4,0,3
206,"貯","savings",2016-06-16 12:30:44,2016-06-30,4,1,3
207,"木","tree",2016-06-20 11:52:19,2016-07-10,4,0,3
208,"林","grove",2016-06-15 09:50:48,2016-06-30,4,0,3
209,"森","forest",2016-06-19 13:58:43,2016-07-13,4,0,3
210,"桂","Japanese Judas-tree",2016-06-17 11:32:34,2016-06-30,4,1,3
211,"柏","oak",2016-06-17 12:31:26,2016-07-01,4,0,3
212,"枠","frame",2016-06-19 14:03:47,2016-07-02,4,0,3
213,"梢","treetops",2016-06-20 11:31:06,2016-07-08,4,0,3
214,"棚","shelf",2016-06-15 09:47:54,2016-06-27,4,1,3
215,"杏","apricot",2016-06-16 12:13:37,2016-06-28,4,0,3
216,"桐","paulownia",2016-06-15 09:47:54,2016-06-30,4,1,3
217,"植","plant",2016-06-15 09:47:54,2016-06-29,4,1,3
218,"椅","chair",2016-06-19 14:25:20,2016-07-04,4,0,3
219,"枯","wither",2016-06-17 12:29:42,2016-07-04,4,1,3
220,"朴","crude",2016-06-15 09:46:18,2016-06-27,4,1,3
221,"村","town",2016-06-19 14:08:54,2016-07-01,4,2,4
222,"相","inter-",2016-06-19 14:14:18,2016-07-04,4,1,3
223,"机","desk",2016-06-17 11:22:59,2016-06-29,4,1,3
224,"本","book",2016-06-17 11:24:34,2016-06-30,4,0,3
225,"札","tag",2016-06-19 14:25:20,2016-06-30,4,0,3
226,"暦","calendar",2016-06-18 06:07:42,2016-06-29,4,0,3
227,"案","plan",2016-06-18 07:00:08,2016-07-05,4,1,3
228,"燥","parch",2016-06-16 12:25:38,2016-06-27,4,1,3
229,"未","not yet",2016-06-19 14:03:47,2016-07-13,4,0,3
230,"末","extremity",2016-06-14 09:32:55,2016-06-27,4,0,3
231,"昧","obscure",2016-06-16 12:20:45,2016-06-27,4,1,3
232,"沫","splash",2016-06-17 11:36:36,2016-07-03,4,0,3
233,"味","flavor",2016-06-17 11:20:01,2016-07-04,4,0,3
234,"妹","younger sister",2016-06-18 06:04:56,2016-07-04,4,0,3
235,"朱","vermilion",2016-06-18 07:04:51,2016-07-03,4,0,3
236,"株","stocks",2016-06-16 12:27:47,2016-06-30,4,1,3
237,"若","young",2016-06-17 12:31:26,2016-07-04,4,1,3
238,"草","grass",2016-06-15 09:49:32,2016-06-29,4,0,3
239,"苦","suffering",2016-06-18 06:48:17,2016-07-02,4,2,4
240,"苛","bullying",2016-06-19 13:49:26,2016-07-01,4,0,3
241,"寛","tolerant",2016-06-16 12:15:08,2016-06-28,4,1,3
242,"薄","dilute",2016-06-18 06:40:43,2016-07-04,4,0,3
243,"葉","leaf",2016-06-19 14:25:20,2016-07-03,4,1,3
244,"模","imitation",2016-06-15 09:50:48,2016-07-02,4,0,3
245,"漠","vague",2016-06-16 12:13:36,2016-06-27,4,1,3
246,"墓","grave",2016-06-15 09:50:48,2016-07-02,4,1,3
247,"暮","livelihood",2016-06-18 06:51:12,2016-06-30,4,1,3
248,"膜","membrane",2016-06-17 12:29:42,2016-06-28,4,0,3
249,"苗","seedling",2016-06-14 09:48:35,2016-06-27,4,0,3
250,"兆","portent",2016-06-17 11:41:24,2016-07-04,4,1,3
251,"桃","peach tree",2016-06-19 13:54:30,2016-07-03,4,1,3
252,"眺","stare",2016-06-16 12:15:08,2016-07-01,4,1,3
253,"犬","dog",2016-06-17 11:36:36,2016-07-03,4,0,3
254,"状","status quo",2016-06-15 09:47:54,2016-07-01,4,1,3
255,"黙","silence",2016-06-16 12:30:44,2016-06-27,4,0,3
256,"然","sort of thing",2016-06-18 06:09:29,2016-07-03,4,1,3
257,"荻","reed",2016-06-18 06:52:49,2016-07-03,4,0,3
258,"狩","hunt",2016-06-18 06:42:24,2016-07-02,4,0,3
259,"猫","cat",2016-06-15 09:47:54,2016-07-01,4,0,3
260,"牛","cow",2016-06-19 14:01:32,2016-07-09,4,0,3
261,"特","special",2016-06-17 11:20:01,2016-07-04,4,0,3
262,"告","revelation",2016-06-18 06:55:45,2016-06-29,4,1,3
263,"先","before",2016-06-20 11:38:11,2016-07-10,4,0,3
264,"洗","wash",2016-06-17 12:37:25,2016-07-04,4,0,3
265,"介","jammed in",2016-06-17 11:24:34,2016-07-01,4,0,3
266,"界","world",2016-06-16 12:18:18,2016-06-27,4,0,3
267,"茶","tea",2016-06-20 12:01:35,2016-07-08,4,0,3
