夕べ	ゆうべ, ゆう, さくや	evening., last night.
兄弟	きょうだい, けいてい	siblings, brothers and sisters., brothers., siblings-in-law, brothers-in-law, sisters-in-law., mate, friend.
警官	けいかん	policeman.
玄関	げんかん	entranceway, entry hall, vestibule, foyer, entryway, mud room.
今週	こんしゅう	this week.
歯	は	tooth.
図書館	としょかん, ずしょかん	library.
静か	しずか	quiet, silent., slow, unhurried., calm, peaceful.
先週	せんしゅう	last week, the week before.
地下鉄	ちかてつ	underground train, subway.
地図	ちず	map.
池	いけ	pond.
肉	にく, しし	flesh., meat., the physical body (as opposed to the spirit)., thickness., ink pad.
飛行機	ひこうき	aeroplane, airplane, aircraft.
文章	ぶんしょう	sentence, article, composition., (writing) style.
毎週	まいしゅう	every week.
友達	ともだち	friend, companion.
卵	たまご	eggs, egg, spawn, roe., hen egg., (an expert) in the making., beginning, origin, infancy.
留学生	りゅうがくせい	overseas student, exchange student.
毎月	まいつき, まいげつ	every month, each month, monthly.
お茶	おちゃ	tea (usu. green)., tea break (at work)., tea ceremony.
医者	いしゃ	(medical) doctor, physician.
過ぎ	すぎ	past, after., too (much), over (e.g. eating).
皆さん	みなさん, みんなさん	all, everyone, everybody.
角	かど	corner (e.g. desk, pavement)., edge.
靴	くつ	shoes, boots, footwear, footgear.
元気	げんき	health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep.
後ろ	うしろ	back, behind, rear.
四つ	よっつ, よつ	four.
取る	とる	to take, to pick up, to harvest, to earn, to win, to choose., to steal., to eat, to have (a meal)., to remove (one's glasses, etc.)., to compete (in sumo, cards, etc.), to play.
大丈夫	だいじょうぶ	safe, all right, OK, okay.
庭	にわ	garden, yard, courtyard., field (of action), area.
天気	てんき	weather, the elements., fair weather, fine weather.
便利	べんり	convenient, handy, useful.
妹	いもうと	younger sister.
来週	らいしゅう	next week.
立派	りっぱ	splendid, fine, handsome, elegant, imposing, prominent, legal, legitimate.
塩	しお, えん	salt (i.e. sodium chloride), common salt, table salt., salt (e.g. sodium chloride, calcium sulfate, etc.)., hardship, toil, trouble., saltiness.
お父さん	おとうさん, おとっさん	father, dad, papa, pa, pop, daddy, dada.
階段	かいだん	stairs, stairway, staircase.
漢字	かんじ	Chinese characters, kanji.
机	つくえ, つき	desk.
戸	と	door (esp. Japanese-style).
今	いま	now, the present time, just now, soon, immediately, (one) more.
姉	あね	older sister, elder sister.
時計	とけい, ときはかり	watch, clock, timepiece.
台所	だいどころ, だいどこ	kitchen.
難しい	むずかしい, むつかしい	difficult, hard, troublesome, complicated, serious (disease, problem, etc.)., fussy, particular, fastidious, hard to please, displeased., gloomy, glum, sullen, serious (look).
猫	ねこ, ネコ	cat., shamisen., geisha., wheelbarrow., clay bed-warmer., bottom, submissive partner of a homosexual relationship.
晩	ばん	evening., counter for nights.
郵便局	ゆうびんきょく	post office.
夕方	ゆうがた	evening, dusk.
嫌	いや, や	disagreeable, detestable, unpleasant, reluctant.
大きい	おおきい	big, large, great, loud.
時々	ときどき	sometimes, at times.
押す	おす	to push, to press., to apply pressure from above, to press down., to stamp (i.e. a passport), to apply a seal., to affix (e.g. gold leaf)., to press (someone for something), to urge, to compel, to influence., to overwhelm, to overpower, to repress., to push (events along), to advance (a plan)., to do in spite of ..., to do even though ..., to force., to make sure., to be pressed for time., to advance troops, to attack., (of light) to be diffused across an entire surface.
階	かい	storey, story, floor., stairs., stage (in chronostratigraphy)., counter for storeys and floors of a building.
牛肉	ぎゅうにく	beef.
牛乳	ぎゅうにゅう	(cow's) milk.
結構	けっこう	splendid, nice, wonderful, delicious, sweet., sufficient, fine (in the sense of "I'm fine"), (by implication) no thank you., well enough, OK, tolerable., reasonably, fairly, tolerably.
嫌い	きらい	dislike, hate., suspicion, tendency, smack (of)., distinction, discrimination.
高い	たかい	high, tall., expensive.
砂糖	さとう	sugar.
持つ	もつ	to hold (in one's hand), to take, to carry., to possess, to have, to own., to maintain, to keep., to last, to be durable, to keep, to survive., to take charge of, to be in charge of.
縦	たて	the vertical, height., front-to-back, length., north-to-south., vertical (relationship), hierarchy., (weaving) warp.
出口	でぐち	exit, gateway, way out, outlet, leak, vent.
食べ物	たべもの	food.
食堂	しょくどう	dining room, dining hall, cafeteria, messroom., restaurant, eatery, snack bar, diner.
新しい	あたらしい	new, novel, fresh, recent, latest, up-to-date, modern.
切手	きって	stamp (postage), merchandise certificate.
大好き	だいすき	loveable, very likeable, like very much.
売る	うる	to sell.
鼻	はな	nose.
頼む	たのむ	to request, to beg, to ask., to call, to order, to reserve., to entrust to., to rely on.
冷蔵庫	れいぞうこ	refrigerator.
映画館	えいがかん	movie theatre (theater), cinema.
果物	くだもの, かぶつ	fruit.
荷物	にもつ	luggage, baggage, package., burden., payload (of a packet, cell, etc.).
回	かい	counter for occurrences., counter for games, rounds, etc., counter for innings (baseball)., Islam., Hui (people).
五つ	いつつ	five.
作文	さくぶん	writing (an essay, prose, etc.), composition., formal writing with little real meaning.
洗濯	せんたく	washing, laundry.
掃除	そうじ	cleaning, sweeping.
朝	あさ, あした	morning.
背	せい	height, stature.
帽子	ぼうし	hat, cap.
明るい	あかるい	bright, colourful., cheerful., familiar (with), knowledgeable (about)., fair (e.g. politics), clean.
浴びる	あびる	to dash over oneself (e.g. water), to bathe, to bask in (e.g. the sun), to be flooded with (e.g. light), to shower., to suffer (e.g. an attack), to have abuse heaped upon, to draw criticism upon oneself.
風邪	かぜ, ふうじゃ	common cold, cold, influenza, flu, ague.
箱	はこ, ハコ	box, case, chest, package, pack., car (of a train, etc.)., shamisen case, shamisen., public building, community building., counter for boxes (or boxed objects).
喫茶店	きっさてん, きっちゃてん	teahouse, tearoom, coffee lounge, coffee shop, (rather formal) cafe.
去年	きょねん, こぞ	last year.
財布	さいふ	purse, handbag, wallet.
散歩	さんぽ	walk, stroll.
辞書	じしょ	dictionary, lexicon.
切符	きっぷ	ticket.
走る	はしる	to run., to travel (movement of vehicles), to drive., to hurry to., to retreat (from battle), to take flight., to run away from home., to elope., to tend heavily toward.
買う	かう	to buy, to purchase., to value, to have a high opinion., to stir, to provoke.
辺	へん	area, vicinity., side (of triangle, rectangle, etc.)., circumstances.
廊下	ろうか	corridor, hallway, passageway.
傘	かさ	umbrella, parasol.
切る	きる	to cut, to cut through, to perform (surgery)., to sever (connections, ties)., to turn off (i.e. the light)., to terminate (i.e. a conversation), to hang up (the phone), to disconnect., to punch (a ticket), to tear off (a stub)., to open (something sealed)., to start., to set (a limit), to do (something) in less or within a certain time, to issue (stamps, vouchers, etc.)., to reduce, to decrease, to discount., to shake off (water, etc.), to let drip-dry, to let drain., to cross, to traverse., to criticize sharply., to act decisively, to do (something noticeable), to go first, to make (certain facial expressions, in kabuki)., to turn (a vehicle)., to curl (a ball), to bend, to cut., to shuffle (cards)., to dismiss, to sack, to let go, to expulse, to excommunicate., to dig (a groove), to cut (a stencil, on a mimeograph)., to trump., (in Go) to isolate (an opponent's stone)., to start a fire (with wood-wood friction or by striking a metal against stone)., to draw (a shape) in the air (with a sword, etc.)., to finish, to complete.
渡す	わたす	to ferry across (a river, etc.), to carry across, to traverse., to lay across, to build across., to hand over, to hand in, to pass, to give, to transfer.
封筒	ふうとう	envelope.
毎朝	まいあさ, まいちょう	every morning.
洋服	ようふく	Western-style clothes (cf traditional Japanese clothes).
黄色	きいろ, こうしょく, おうしょく	yellow, amber.
終わる	おわる	to finish, to end, to close.
交差点	こうさてん	crossing, intersection.
鉛筆	えんぴつ	pencil.
週間	しゅうかん	week, weekly.
出る	でる	to leave, to exit, to go out, to come out, to get out., to leave (on a journey), to depart, to start out, to set out., to move forward., to come to, to get to, to lead to, to reach., to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display., to appear (in print), to be published, to be announced, to be issued, to be listed, to come out., to attend, to participate, to take part, to enter (an event), to play in, to perform., to be stated, to be expressed, to come up, to be brought up, to be raised., to sell., to exceed, to go over., to stick out, to protrude., to break out, to occur, to start, to originate., to be produced., to come from, to be derived from., to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid., to answer (phone, door, etc.), to get., to assume (an attitude), to act, to behave., to pick up (speed, etc.), to gain., to flow (e.g. tears), to run, to bleed., to graduate.
上手	じょうず, じょうて, じょうしゅ	skill, skillful, dexterity., flattery.
読む	よむ	to read., to count.
背広	せびろ, セビロ	business suit.
方	ほう	direction, way, side, area (in a particular direction)., side (of an argument, etc.), one's part., type, category., field (of study, etc.)., indicates one side of a comparison., way, method, manner, means., length (of each side of a square).
紅茶	こうちゃ	black tea.
七つ	ななつ	seven.
借りる	かりる	to borrow, to have a loan., to rent, to hire.
宿題	しゅくだい	homework.
多分	たぶん	perhaps, probably., generous, many, much, great.
誰	だれ, たれ, た	who.
着る	きる	to wear (in modern Japanese, from the shoulders down), to put on., to bear (guilt, etc.).
眼鏡	めがね, がんきょう, メガネ	spectacles, glasses., judgement, discrimination, discernment, insight.
見る	みる	to see, to look, to watch, to view, to observe., to look over, to look on, to assess, to examine, to judge., to look after, to keep an eye on, to take care of., to view (e.g. flowers, movie)., to try, to try out., to see that..., to find that....
低い	ひくい	low (rank, degree, value, content, quality, etc.)., low (position), close to the ground., short (height)., deep (voice), in a low key, low (volume).
熱い	あつい	hot (thing)., passionate (feelings, etc.), ardent, hot (e.g. gaze)., hot (e.g. temper)., zealous, enthusiastic, fired up., intense, severe, extreme., hot (topic), of interest.
暇	ひま, いとま, ヒマ	spare time, free time, leisure., time off, day off, vacation, holiday, leave., quitting (one's job), firing someone, divorcing (one's spouse)., (of one's time) free, (of one's business) slow., leaving, departing.
下手	へた	unskillful, poor, awkward., imprudent, untactful.
向こう	むこう	opposite side, other side, opposite direction., over there, that way, far away, beyond., the other party, the other person., future (starting now).
出来る	できる	to be able (in a position) to do, to be up to the task., to be ready, to be completed., to be made, to be built., to be good at, to be permitted (to do)., to become intimate, to take up (with somebody)., to grow, to be raised., to become pregnant.
寝る	ねる	to lie down., to go to bed, to lie in bed., to sleep (lying down)., to sleep (with someone, i.e. have intercourse)., to lie idle.
晴れ	はれ	clear weather, fine weather., formal, ceremonial, public., cleared of suspicion.
茶色	ちゃいろ	light brown, tawny.
長い	ながい	long (distance)., long (time), lengthy.
丈夫	じょうぶ	healthy, robust, strong, solid, durable.
カ月	かげつ	(number of) months.
楽しい	たのしい	enjoyable, fun.
幾つ	いくつ	how many?., how old?.
古い	ふるい	old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article.
細い	ほそい	thin, slender, fine., unlucky (billiards slang).
少ない	すくない	few, a little, scarce, insufficient, seldom.
痛い	いたい	painful, sore., exceeding.
白い	しろい	white.
来る	くる	to come (spatially or temporally), to approach, to arrive., to come back, to do ... and come back., to come to be, to become, to get, to grow, to continue., to come from, to be caused by, to derive from., to come to (i.e. "when it comes to spinach ...").
火曜日	かようび	Tuesday.
豚肉	ぶたにく, とんにく	pork.
上着	うわぎ, じょうい	coat, tunic, jacket, outer garment.
強い	つよい	strong, powerful, mighty, potent., resistant, resilient, durable.
鍵	かぎ	key., lock.
交番	こうばん	police box., alternation, alternating (e.g. current).
黒い	くろい	black., dark., illicit, wicked, underground.
待つ	まつ	to wait., to await, to look forward to, to anticipate., to depend on, to need.
遅い	おそい	slow., late (e.g. "late at night")., too late.
忙しい	いそがしい, せわしい	busy, hectic, occupied, engaged.
毎晩	まいばん	every night.
欲しい	ほしい	wanted, wished for, in need of, desired., I want (you) to.
甘い	あまい	sweet-tasting, sweet, sugary, sugared., fragrant (smelling), sweet (music)., lightly salted, light in salt, not spicy., naive, overly optimistic, soft on, generous, indulgent, easy-going, lenient., half-hearted, not finished properly., insufficient, not satisfactory, inadequate, loose., mild., tempting, enticing, luring.
靴下	くつした	socks, sock, stockings, stocking.
語	ご	language., word.
箸	はし	chopsticks.
又	また	again, and, also, still (doing something).
面白い	おもしろい	interesting, amusing.
今朝	けさ, こんちょう	this morning.
泳ぐ	およぐ	to swim.
掛ける	かける	to hang (e.g. picture), to hoist (e.g. sail), to raise (e.g. flag)., to sit., to take (time, money), to expend (money, time, etc.)., to make (a call)., to multiply., to secure (e.g. lock)., to put on (glasses, etc.)., to cover., to burden someone., to apply (insurance)., to turn on (an engine, etc.), to set (a dial, an alarm clock, etc.)., to put an effect (spell, anaesthetic, etc.) on., to hold an emotion for (pity, hope, etc.)., to bind., to pour (or sprinkle, spray, etc.) onto., to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.)., to increase further., to catch (in a trap, etc.)., to set atop., to erect (a makeshift building)., to hold (a play, festival, etc.)., to wager, to bet, to risk, to stake, to gamble., to be partway doing ..., to begin (but not complete) ..., to be about to ...., indicates (verb) is being directed to (someone).
休む	やすむ	to be absent, to take a day off., to rest, to have a break., to go to bed, to (lie down to) sleep, to turn in, to retire., to stop doing some ongoing activity for a time, to suspend business.
近い	ちかい	near, close, short (distance).
太い	ふとい	fat, thick., deep (of a voice)., daring, shameless, brazen., lucky (billiards).
薄い	うすい	thin., pale, light., watery, dilute, sparse., weak (taste, etc.)., slim (probability, etc.), small.
万年筆	まんねんひつ, まんねんぴつ, まんねんふで	fountain pen.
曇り	くもり	cloudiness, cloudy weather, shadow.
灰皿	はいざら	ashtray.
九つ	ここのつ	nine.
乗る	のる	to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark., to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount., to reach, to go over, to pass., to follow, to stay (on track), to go with (the times, etc.)., to take part, to participate, to join., to get into the swing (and sing, dance, etc.)., to be deceived, to be taken in., to be carried, to be spread, to be scattered., to stick, to attach, to take, to go on.
飛ぶ	とぶ	to fly, to soar., to jump, to leap, to spring, to bound, to hop.
話す	はなす	to talk, to speak, to converse, to chat., to tell, to explain, to narrate, to mention, to describe, to discuss., to speak (a language).
