政	まつりごと, まん, セイ, ショウ	politics, government
量	はか.る, リョウ	quantity, measure, weight, amount, consider, estimate, surmise
望	のぞ.む, もち, ボウ, モウ	ambition, full moon, hope, desire, aspire to, expect
非	あら.ず, ヒ	un-, mistake, negative, injustice, non-
観	み.る, しめ.す, カン	outlook, look, appearance, condition, view
察	サツ	guess, presume, surmise, judge, understand
整	ととの.える, ととの.う, セイ	organize, arranging, tune, tone, meter, key (music)
段	ダン, タン	grade, steps, stairs
横	よこ, オウ	sideways, side, horizontal, width, woof, unreasonable, perverse
型	かた, -がた, ケイ	mould, type, model
深	ふか.い, -ぶか.い, ふか.まる, ふか.める, み-, シン	deep, heighten, intensify, strengthen
製	セイ	made in..., manufacture
況	まし.て, いわ.んや, おもむき, キョウ	condition, situation
申	もう.す, もう.し-, さる, シン	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
様	さま, さん, ヨウ, ショウ	Esq., way, manner, situation, polite suffix
財	たから, ザイ, サイ, ゾク	property, money, wealth, assets
港	みなと, コウ	harbor
識	し.る, しる.す, シキ	discriminating, know, write
呼	よ.ぶ, コ	call, call out to, invite
達	-たち, タツ, ダ	accomplished, reach, arrive, attain
良	よ.い, -よ.い, い.い, -い.い, リョウ	good, pleasing, skilled
針	はり, シン	needle, pin, staple, stinger
専	もっぱ.ら, セン	specialty, exclusive, mainly, solely
谷	たに, きわ.まる, コク	valley
候	そうろう, コウ	climate, season, weather, wait for, expect
史	シ	history, chronicle
階	きざはし, カイ	storey, stair, counter for storeys of a building
程	ほど, -ほど, テイ	extent, degree, law, formula, distance, limits, amount
満	み.ちる, み.つ, み.たす, マン, バン	full, fullness, enough, satisfy
敗	やぶ.れる, ハイ	failure, defeat, reversal
管	くだ, カン	pipe, tube, wind instrument, drunken talk, control, jurisdiction
値	ね, あたい, チ	price, cost, value
突	つ.く, トツ, カ	stab, protruding, thrust, pierce, prick, collision, sudden
兵	つわもの, ヘイ, ヒョウ	soldier, private, troops, army, warfare, strategy, tactics
接	つ.ぐ, セツ, ショウ	touch, contact, adjoin, piece together
器	うつわ, キ	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set
路	-じ, みち, ロ, ル	path, route, road, distance
科	カ	department, course, section
授	さず.ける, さず.かる, ジュ	impart, instruct, grant, confer
細	ほそ.い, ほそ.る, こま.か, こま.かい, サイ	dainty, get thin, taper, slender, narrow, detailed, precise
効	き.く, ききめ, なら.う, コウ	merit, efficacy, efficiency, benefit
積	つ.む, -づ.み, つ.もる, つ.もり, セキ	volume, product (x*y), acreage, contents, pile up, stack, load, amass
丸	まる, まる.める, まる.い, ガン	round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
他	ほか, タ	other, another, the others
湾	いりえ, ワン	gulf, bay, inlet
録	しる.す, と.る, ロク	record
処	ところ, -こ, お.る, ショ	dispose, manage, deal with, sentence, condemn, act, behave, place
省	かえり.みる, はぶ.く, セイ, ショウ	focus, government ministry, conserve
旧	ふる.い, もと, キュウ	old times, old things, old friend, former, ex-
橋	はし, キョウ	bridge
岸	きし, ガン	beach
客	キャク, カク	guest, visitor, customer, client
否	いな, いや, ヒ	negate, no, noes, refuse, decline, deny
周	まわ.り, シュウ	circumference, circuit, lap
師	もろもろ, なら.う, シ, ス	expert, teacher, master, model, exemplar, army (incl. counter), war
材	ザイ	lumber, log, timber, wood, materials, ingredients, talent
登	のぼ.る, あ.がる, トウ, ト, ドウ, ショウ, チョウ	ascend, climb up
批	ヒ	criticism, strike
易	やさ.しい, やす.い, エキ, イ	easy, ready to, simple, fortune-telling, divination
健	すこ.やか, ケン	healthy, health, strength, persistence
戸	と, コ	door, counter for houses, door radical (no. 63)
速	はや.い, はや-, はや.める, すみ.やか, ソク	quick, fast
存	ソン, ゾン	exist, suppose, be aware of, believe, feel
飛	と.ぶ, と.ばす, -と.ばす, ヒ	fly, skip (pages), scatter
殺	ころ.す, -ごろ.し, そ.ぐ, サツ, サイ, セツ	kill, murder, butcher, slice off, split, diminish, reduce, spoil
央	オウ	center, middle
券	ケン	ticket
号	さけ.ぶ, よびな, ゴウ	nickname, number, item, title, pseudonym, name, call
単	ひとえ, タン	simple, one, single, merely
座	すわ.る, ザ	squat, seat, cushion, gathering, sit
破	やぶ.る, やぶ.れる, わ.れる, ハ	rend, rip, tear, break, destroy, defeat, frustrate
編	あ.む, -あ.み, ヘン	compilation, knit, plait, braid, twist, editing, completed poem, part of a book
捜	さが.す, ソウ, シュ, シュウ	search, look for, locate
竹	たけ, チク	bamboo
除	のぞ.く, -よ.け, ジョ, ジ	exclude, division (x/3), remove, abolish, cancel, except
完	カン	perfect, completion, end
降	お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す, コウ, ゴ	descend, precipitate, fall, surrender
超	こ.える, こ.す, チョウ	transcend, super-, ultra-
責	せ.める, セキ	blame, condemn, censure
並	な.み, なみ, なら.べる, なら.ぶ, なら.びに, ヘイ, ホウ	row, and, besides, as well as, line up, rank with, rival, equal
療	リョウ	heal, cure
修	おさ.める, おさ.まる, シュウ, シュ	discipline, conduct oneself well, study, master
捕	と.らえる, と.らわれる, と.る, とら.える, とら.われる, つか.まえる, つか.まる, ホ	catch, capture
危	あぶ.ない, あや.うい, あや.ぶむ, キ	dangerous, fear, uneasy
採	と.る, サイ	pick, take, fetch, take up
競	きそ.う, せ.る, くら.べる, キョウ, ケイ	emulate, compete with, bid, sell at auction, bout, contest, race
拡	ひろ.がる, ひろ.げる, ひろ.める, カク, コウ	broaden, extend, expand, enlarge
故	ゆえ, ふる.い, もと, コ	happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently
給	たま.う, たも.う, -たま.え, キュウ	salary, wage, gift, allow, grant, bestow on
介	カイ	jammed in, shellfish, mediate, concern oneself with
根	ね, -ね, コン	root, radical, head (pimple)
苦	くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る, ク	suffering, trial, worry, hardship, feel bitter, scowl
迎	むか.える, ゲイ	welcome, meet, greet
販	ハン	marketing, sell, trade
園	その, エン	park, garden, yard, farm
具	そな.える, つぶさ.に, グ	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
異	こと, こと.なる, け, イ	uncommon, different, queerness, strangeness, wonderful, curious, unusual
歴	レキ, レッキ	curriculum, continuation, passage of time
辞	や.める, いな.む, ジ	resign, word, term, expression
将	まさ.に, はた, まさ, ひきい.る, もって, ショウ, ソウ	leader, commander, general, admiral, or, and again, soon, from now on, just about
因	よ.る, ちな.む, イン	cause, factor, be associated with, depend on, be limited to
馬	うま, うま-, ま, バ	horse
愛	いと.しい, かな.しい, め.でる, お.しむ, まな, アイ	love, affection, favourite
幅	はば, フク	hanging scroll, width
富	と.む, とみ, フ, フウ	wealth, enrich, abundant
彼	かれ, かの, か.の, ヒ	he, that, the
般	ハン	carrier, carry, all, general, sort, kind
未	いま.だ, ま.だ, ひつじ, ミ, ビ	un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac
貿	ボウ	trade, exchange
講	コウ	lecture, club, association
舞	ま.う, -ま.う, まい, ブ	dance, flit, circle, wheel
装	よそお.う, よそお.い, ソウ, ショウ	attire, dress, pretend, disguise, profess
諸	もろ, ショ	various, many, several, together
亡	な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす, ボウ, モウ	deceased, the late, dying, perish
劇	ゲキ	drama, play
河	かわ, カ	river
航	コウ	navigate, sail, cruise, fly
冷	つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます, レイ	cool, cold (beer, person), chill
適	かな.う, テキ	suitable, occasional, rare, qualified, capable
婦	よめ, フ	lady, woman, wife, bride
鉄	くろがね, テツ	iron
寄	よ.る, -よ.り, よ.せる, キ	draw near, stop in, bring near, gather, collect, send, forward
込	-こ.む, こ.む, こ.み, -こ.み, こ.める	crowded, mixture, in bulk, included, (kokuji)
類	たぐ.い, ルイ	sort, kind, variety, class, genus
児	こ, -こ, -っこ, ジ, ニ, ゲイ	newborn babe, child, young of animals
余	あま.る, あま.り, あま.す, あんま.り, ヨ	too much, myself, surplus, other, remainder
禁	キン	prohibition, ban, forbid
印	しるし, -じるし, しる.す, イン	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India
逆	さか, さか.さ, さか.らう, ギャク, ゲキ	inverted, reverse, opposite, wicked
王	オウ, -ノウ	king, rule, magnate
返	かえ.す, -かえ.す, かえ.る, -かえ.る, ヘン	return, answer, fade, repay
標	しるべ, しるし, ヒョウ	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target
換	か.える, -か.える, か.わる, カン	interchange, period, change, convert, replace, renew
久	ひさ.しい, キュウ, ク	long time, old story
油	あぶら, ユ, ユウ	oil, fat
妻	つま, サイ	wife, spouse
暴	あば.く, あば.れる, ボウ, バク	outburst, rave, fret, force, violence, cruelty, outrage
輪	わ, リン	wheel, ring, circle, link, loop, counter for wheels and flowers
占	し.める, うらな.う, セン	fortune-telling, divining, forecasting, occupy, hold, have, get, take
背	せ, せい, そむ.く, そむ.ける, ハイ	stature, height, back, behind, disobey, defy, go back on, rebel
植	う.える, う.わる, ショク	plant
熱	あつ.い, ネツ	heat, temperature, fever, mania, passion
宿	やど, やど.る, やど.す, シュク	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling
清	きよ.い, きよ.まる, きよ.める, セイ, ショウ, シン	pure, purify, cleanse, exorcise, Manchu dynasty
